День;Код_Состояния;Описание
178;2;Облачно (2)
179;2;Облачно (2)
180;3;Пасмурно (3)
181;1;Ясно (1)
182;2;Облачно (2)
183;2;Облачно (2)
184;1;Ясно (1)
185;1;Ясно (1)
186;1;Ясно (1)
187;1;Ясно (1)
188;1;Ясно (1)
189;2;Облачно (2)
190;2;Облачно (2)
191;2;Облачно (2)
192;3;Пасмурно (3)
193;3;Пасмурно (3)
194;2;Облачно (2)
195;2;Облачно (2)
196;1;Ясно (1)
197;1;Ясно (1)
198;2;Облачно (2)
199;2;Облачно (2)
200;2;Облачно (2)
201;2;Облачно (2)
202;2;Облачно (2)
203;2;Облачно (2)
204;3;Пасмурно (3)
205;3;Пасмурно (3)
206;2;Облачно (2)
207;2;Облачно (2)
208;3;Пасмурно (3)
209;2;Облачно (2)
210;2;Облачно (2)
211;1;Ясно (1)
212;2;Облачно (2)
213;3;Пасмурно (3)
214;1;Ясно (1)
215;1;Ясно (1)
216;2;Облачно (2)
217;2;Облачно (2)
218;2;Облачно (2)
219;2;Облачно (2)
220;3;Пасмурно (3)
221;3;Пасмурно (3)
222;1;Ясно (1)
223;1;Ясно (1)
224;1;Ясно (1)
225;1;Ясно (1)
226;1;Ясно (1)
227;2;Облачно (2)
228;2;Облачно (2)
229;3;Пасмурно (3)
230;3;Пасмурно (3)
231;1;Ясно (1)
232;1;Ясно (1)
233;1;Ясно (1)
234;3;Пасмурно (3)
235;3;Пасмурно (3)
236;3;Пасмурно (3)
237;3;Пасмурно (3)
238;3;Пасмурно (3)
239;3;Пасмурно (3)
240;3;Пасмурно (3)
241;3;Пасмурно (3)
242;3;Пасмурно (3)
243;2;Облачно (2)
244;2;Облачно (2)
245;3;Пасмурно (3)
246;3;Пасмурно (3)
247;2;Облачно (2)
248;3;Пасмурно (3)
249;3;Пасмурно (3)
250;3;Пасмурно (3)
251;2;Облачно (2)
252;2;Облачно (2)
253;2;Облачно (2)
254;2;Облачно (2)
255;3;Пасмурно (3)
256;3;Пасмурно (3)
257;3;Пасмурно (3)
258;2;Облачно (2)
259;2;Облачно (2)
260;1;Ясно (1)
261;1;Ясно (1)
262;1;Ясно (1)
263;2;Облачно (2)
264;1;Ясно (1)
265;2;Облачно (2)
266;2;Облачно (2)
267;3;Пасмурно (3)
268;2;Облачно (2)
269;3;Пасмурно (3)
270;1;Ясно (1)
271;3;Пасмурно (3)
272;1;Ясно (1)
273;2;Облачно (2)
274;2;Облачно (2)
275;2;Облачно (2)
276;1;Ясно (1)
277;1;Ясно (1)
278;2;Облачно (2)
279;2;Облачно (2)
280;3;Пасмурно (3)
281;3;Пасмурно (3)
282;2;Облачно (2)
283;2;Облачно (2)
284;2;Облачно (2)
285;2;Облачно (2)
286;1;Ясно (1)
287;1;Ясно (1)
288;1;Ясно (1)
289;1;Ясно (1)
290;2;Облачно (2)
291;1;Ясно (1)
292;1;Ясно (1)
293;1;Ясно (1)
294;1;Ясно (1)
295;1;Ясно (1)
296;1;Ясно (1)
297;1;Ясно (1)
298;1;Ясно (1)
299;1;Ясно (1)
300;1;Ясно (1)
301;2;Облачно (2)
302;2;Облачно (2)
303;2;Облачно (2)
304;2;Облачно (2)
305;3;Пасмурно (3)
306;3;Пасмурно (3)
307;3;Пасмурно (3)
308;3;Пасмурно (3)
309;1;Ясно (1)
310;3;Пасмурно (3)
311;1;Ясно (1)
312;2;Облачно (2)
313;1;Ясно (1)
314;2;Облачно (2)
315;2;Облачно (2)
316;1;Ясно (1)
317;2;Облачно (2)
318;2;Облачно (2)
319;2;Облачно (2)
320;3;Пасмурно (3)
321;1;Ясно (1)
322;3;Пасмурно (3)
323;3;Пасмурно (3)
324;3;Пасмурно (3)
325;2;Облачно (2)
326;2;Облачно (2)
327;3;Пасмурно (3)
328;2;Облачно (2)
329;3;Пасмурно (3)
330;3;Пасмурно (3)
331;3;Пасмурно (3)
332;1;Ясно (1)
333;1;Ясно (1)
334;1;Ясно (1)
335;2;Облачно (2)
336;3;Пасмурно (3)
337;2;Облачно (2)
338;2;Облачно (2)
339;2;Облачно (2)
340;1;Ясно (1)
341;2;Облачно (2)
342;2;Облачно (2)
343;1;Ясно (1)
344;2;Облачно (2)
345;3;Пасмурно (3)
346;2;Облачно (2)
347;2;Облачно (2)
348;3;Пасмурно (3)
349;2;Облачно (2)
350;3;Пасмурно (3)
351;3;Пасмурно (3)
352;2;Облачно (2)
353;2;Облачно (2)
354;3;Пасмурно (3)
355;1;Ясно (1)
356;1;Ясно (1)
357;3;Пасмурно (3)
358;3;Пасмурно (3)
359;3;Пасмурно (3)
360;3;Пасмурно (3)
361;2;Облачно (2)
362;2;Облачно (2)
363;2;Облачно (2)
364;2;Облачно (2)
365;2;Облачно (2)
366;2;Облачно (2)
367;3;Пасмурно (3)
368;2;Облачно (2)
369;1;Ясно (1)
370;1;Ясно (1)
371;1;Ясно (1)
372;1;Ясно (1)
373;3;Пасмурно (3)
374;3;Пасмурно (3)
375;2;Облачно (2)
376;2;Облачно (2)
377;2;Облачно (2)
378;2;Облачно (2)
379;2;Облачно (2)
380;3;Пасмурно (3)
381;3;Пасмурно (3)
382;3;Пасмурно (3)
383;2;Облачно (2)
384;2;Облачно (2)
385;1;Ясно (1)
386;1;Ясно (1)
387;1;Ясно (1)
388;1;Ясно (1)
389;2;Облачно (2)
390;3;Пасмурно (3)
391;3;Пасмурно (3)
392;2;Облачно (2)
393;2;Облачно (2)
394;2;Облачно (2)
395;3;Пасмурно (3)
396;3;Пасмурно (3)
397;3;Пасмурно (3)
398;3;Пасмурно (3)
399;3;Пасмурно (3)
400;3;Пасмурно (3)
401;2;Облачно (2)
402;3;Пасмурно (3)
403;3;Пасмурно (3)
404;2;Облачно (2)
405;1;Ясно (1)
406;3;Пасмурно (3)
407;3;Пасмурно (3)
408;2;Облачно (2)
409;1;Ясно (1)
410;1;Ясно (1)
411;3;Пасмурно (3)
412;2;Облачно (2)
413;2;Облачно (2)
414;2;Облачно (2)
415;2;Облачно (2)
416;2;Облачно (2)
417;2;Облачно (2)
418;2;Облачно (2)
419;3;Пасмурно (3)
420;3;Пасмурно (3)
421;2;Облачно (2)
422;3;Пасмурно (3)
423;3;Пасмурно (3)
424;2;Облачно (2)
425;1;Ясно (1)
426;2;Облачно (2)
427;3;Пасмурно (3)
428;2;Облачно (2)
429;2;Облачно (2)
430;3;Пасмурно (3)
431;3;Пасмурно (3)
432;1;Ясно (1)
433;1;Ясно (1)
434;1;Ясно (1)
435;2;Облачно (2)
436;2;Облачно (2)
437;2;Облачно (2)
438;2;Облачно (2)
439;1;Ясно (1)
440;3;Пасмурно (3)
441;3;Пасмурно (3)
442;3;Пасмурно (3)
443;3;Пасмурно (3)
444;3;Пасмурно (3)
445;3;Пасмурно (3)
446;3;Пасмурно (3)
447;3;Пасмурно (3)
448;3;Пасмурно (3)
449;3;Пасмурно (3)
450;3;Пасмурно (3)
451;3;Пасмурно (3)
452;3;Пасмурно (3)
453;2;Облачно (2)
454;3;Пасмурно (3)
455;2;Облачно (2)
456;3;Пасмурно (3)
457;2;Облачно (2)
458;2;Облачно (2)
459;2;Облачно (2)
460;1;Ясно (1)
461;1;Ясно (1)
462;1;Ясно (1)
463;1;Ясно (1)
464;2;Облачно (2)
465;2;Облачно (2)
466;2;Облачно (2)
467;3;Пасмурно (3)
468;3;Пасмурно (3)
469;2;Облачно (2)
470;3;Пасмурно (3)
471;2;Облачно (2)
472;2;Облачно (2)
473;2;Облачно (2)
474;1;Ясно (1)
475;1;Ясно (1)
476;1;Ясно (1)
477;2;Облачно (2)
478;2;Облачно (2)
479;2;Облачно (2)
480;2;Облачно (2)
481;2;Облачно (2)
482;2;Облачно (2)
483;3;Пасмурно (3)
484;3;Пасмурно (3)
485;2;Облачно (2)
486;1;Ясно (1)
487;1;Ясно (1)
488;1;Ясно (1)
489;2;Облачно (2)
490;3;Пасмурно (3)
491;3;Пасмурно (3)
492;2;Облачно (2)
493;2;Облачно (2)
494;3;Пасмурно (3)
495;3;Пасмурно (3)
496;2;Облачно (2)
497;2;Облачно (2)
498;1;Ясно (1)
499;1;Ясно (1)
500;2;Облачно (2)
501;2;Облачно (2)
502;3;Пасмурно (3)
503;2;Облачно (2)
504;2;Облачно (2)
505;3;Пасмурно (3)
506;2;Облачно (2)
507;3;Пасмурно (3)
508;3;Пасмурно (3)
